fecha,letra,total_cif
2009-05-01,M,7284540
2009-05-01,N,69931568
2009-05-01,P,125864
2009-05-01,Q,4470641
2009-05-01,R,606891
2009-05-01,S,3368620
2009-05-01,Z,2923594
2009-06-01,A,8529987
2009-06-01,B,42708756
2009-06-01,C,1683528064
2009-06-01,D,29129700
2009-06-01,E,1575659
2009-06-01,F,48358336
2009-06-01,G,825074240
2009-06-01,H,129086440
2009-06-01,I,3673511
2009-06-01,J,147063296
2009-06-01,K,27000054
2009-06-01,L,4237700
2009-06-01,M,7522746
2009-06-01,N,254268736
2009-06-01,P,185562
2009-06-01,Q,4135291
2009-06-01,R,954441
2009-06-01,S,8236766
2009-06-01,Z,41907704
2009-07-01,A,13405835
2009-07-01,B,51505928
2009-07-01,C,1761770880
2009-07-01,D,46892464
2009-07-01,E,330004
2009-07-01,F,25732222
2009-07-01,G,884861376
2009-07-01,H,49232576
2009-07-01,I,2572475
2009-07-01,J,153139072
2009-07-01,K,32514012
2009-07-01,L,11348261
2009-07-01,M,9058161
2009-07-01,N,288063968
2009-07-01,P,132876
2009-07-01,Q,3094799
2009-07-01,R,6225690
2009-07-01,S,5006138
2009-07-01,Z,3790412
2009-08-01,A,12720259
2009-08-01,B,47484704
2009-08-01,C,1716736512
2009-08-01,D,29316188
2009-08-01,E,631542
2009-08-01,F,19510136
2009-08-01,G,780945344
2009-08-01,H,21568384
2009-08-01,I,3246463
2009-08-01,J,124741536
2009-08-01,K,3347250
2009-08-01,L,4142440
2009-08-01,M,8884309
2009-08-01,N,236569552
2009-08-01,P,208946
2009-08-01,Q,3727708
2009-08-01,R,3420590
2009-08-01,S,7768998
2009-08-01,Z,3614301
2009-09-01,A,16659595
2009-09-01,B,48472712
2009-09-01,C,1970669440
2009-09-01,D,64280440
2009-09-01,E,434710
2009-09-01,F,44719292
2009-09-01,G,1007748736
2009-09-01,H,21904276
2009-09-01,I,2270557
2009-09-01,J,144375936
2009-09-01,K,7358994
2009-09-01,L,8027268
2009-09-01,M,8264697
2009-09-01,N,55496264
2009-09-01,P,166040
2009-09-01,Q,4016479
2009-09-01,R,4188768
2009-09-01,S,5692134
2009-09-01,Z,3681043
2009-10-01,A,12314999
2009-10-01,B,61734056
2009-10-01,C,2114198656
2009-10-01,D,23356080
2009-10-01,E,403979
2009-10-01,F,31673166
2009-10-01,G,912929536
2009-10-01,H,75374664
2009-10-01,I,2435876
2009-10-01,J,166986176
2009-10-01,K,2081824
2009-10-01,L,8257605
2009-10-01,M,8901439
2009-10-01,N,14095827
2009-10-01,P,208989
2009-10-01,Q,4772029
2009-10-01,R,3198659
2009-10-01,S,5048795
2009-10-01,Z,10668555
