fecha,clae6,total_fob
2007-01-01,581100,1795007
2007-01-01,581300,323983
2007-01-01,581900,-99
2007-01-01,591110,2135490
2007-01-01,591120,-99
2007-01-01,591200,82682
2007-01-01,592000,-99
2007-01-01,602100,-99
2007-01-01,602200,-99
2007-01-01,602310,-99
2007-01-01,602320,646054
2007-01-01,612000,2829651
2007-01-01,613000,-99
2007-01-01,614010,-99
2007-01-01,619000,58267
2007-01-01,620100,756565
2007-01-01,620900,605354
2007-01-01,631110,-99
2007-01-01,649999,-99
2007-01-01,681098,5306709
2007-01-01,681099,2034116
2007-01-01,682010,-99
2007-01-01,682099,-99
2007-01-01,691001,-99
2007-01-01,692000,-99
2007-01-01,702091,248852
2007-01-01,702092,198974
2007-01-01,702099,2334468
2007-01-01,711001,119439
2007-01-01,711002,-99
2007-01-01,711003,801051
2007-01-01,711009,98746
2007-01-01,712000,-99
2007-01-01,721010,-99
2007-01-01,721020,-99
2007-01-01,721030,-99
2007-01-01,731001,-99
2007-01-01,731009,123472
2007-01-01,732000,-99
2007-01-01,741000,88773
2007-01-01,742000,-99
2007-01-01,749009,313148
2007-01-01,750000,-99
2007-01-01,771110,-99
2007-01-01,771290,-99
2007-01-01,773020,-99
2007-01-01,773030,-99
2007-01-01,773090,596377
2007-01-01,774000,-99
2007-01-01,791200,-99
2007-01-01,813000,-99
2007-01-01,821100,-99
2007-01-01,821900,-99
2007-01-01,822000,-99
2007-01-01,823000,-99
2007-01-01,829200,767673
2007-01-01,829900,8606159
2007-01-01,854990,-99
2007-01-01,862110,-99
2007-01-01,863200,-99
2007-01-01,869090,-99
2007-01-01,900011,-99
2007-01-01,910900,-99
2007-01-01,920009,-99
2007-01-01,939020,-99
2007-01-01,939090,-99
2007-01-01,941200,-99
2007-01-01,949100,663698
2007-01-01,949990,7198
2007-01-01,951100,-99
2007-01-01,951200,-99
2007-01-01,952300,-99
2007-01-01,952910,-99
2007-01-01,952990,-99
2007-01-01,960990,648805
2007-01-01,999999,596685
2007-02-01,11111,2645791
2007-02-01,11112,-99
2007-02-01,11119,2249361
2007-02-01,11121,121533
2007-02-01,11129,-99
2007-02-01,11211,8170090
2007-02-01,11299,424941
2007-02-01,11310,-99
2007-02-01,11329,4157292
2007-02-01,11331,2792045
2007-02-01,11341,-99
2007-02-01,11342,-99
2007-02-01,11501,-99
2007-02-01,11912,-99
2007-02-01,12110,5809329
2007-02-01,12121,874408
2007-02-01,12200,1296066
2007-02-01,12311,14437729
2007-02-01,12319,-99
2007-02-01,12320,2070772
2007-02-01,12490,27774940
2007-02-01,12510,-99
2007-02-01,12600,-99
2007-02-01,12709,-99
2007-02-01,12900,-99
2007-02-01,13011,5231139
2007-02-01,13012,-99
2007-02-01,13013,63622
2007-02-01,13019,6853628
2007-02-01,13020,380264
2007-02-01,14113,5025655
2007-02-01,14114,-99
2007-02-01,14211,-99
2007-02-01,14221,103360
2007-02-01,14410,1555703
2007-02-01,14510,-99
2007-02-01,14610,-99
2007-02-01,14720,-99
2007-02-01,14810,1065475
2007-02-01,14910,197048
2007-02-01,14930,262711
2007-02-01,14990,-99
2007-02-01,16113,-99
2007-02-01,16150,-99
2007-02-01,16190,-99
2007-02-01,16292,-99
2007-02-01,17020,-99
2007-02-01,21010,-99
2007-02-01,22010,593169
2007-02-01,22020,365368
2007-02-01,24010,-99
2007-02-01,24020,-99
2007-02-01,31110,16469261
2007-02-01,31120,18789874
2007-02-01,31200,-99
2007-02-01,31300,-99
2007-02-01,32000,-99
2007-02-01,51000,-99
2007-02-01,61000,311498848
2007-02-01,62000,23772764
2007-02-01,72910,-99
2007-02-01,72990,198989552
2007-02-01,81100,169610
2007-02-01,81200,1047325
2007-02-01,81300,-99
2007-02-01,81400,356377
2007-02-01,89120,1812555
2007-02-01,89300,203917
2007-02-01,89900,6165308
2007-02-01,91000,2566743
2007-02-01,99000,-99
2007-02-01,101011,34911160
2007-02-01,101012,26667660
2007-02-01,101020,10108372
2007-02-01,101030,2497765
2007-02-01,101040,9705171
2007-02-01,101091,5253622
2007-02-01,101099,1838870
2007-02-01,102001,37549932
2007-02-01,102002,440755
2007-02-01,102003,2338211
2007-02-01,103011,3313856
2007-02-01,103012,676743
2007-02-01,103020,14791278
2007-02-01,103030,9960140
2007-02-01,103091,2920962
2007-02-01,103099,10360902
2007-02-01,104011,608878528
2007-02-01,104012,1713063
2007-02-01,104013,221673344
2007-02-01,105010,37756860
2007-02-01,105020,19603304
2007-02-01,105030,83438
2007-02-01,105090,6290134
2007-02-01,106110,21964160
2007-02-01,106120,1870036
2007-02-01,106131,724433
2007-02-01,106139,1214653
2007-02-01,106200,-99
2007-02-01,107110,1817180
2007-02-01,107121,316420
2007-02-01,107129,246364
2007-02-01,107200,7720040
2007-02-01,107301,5066485
2007-02-01,107309,18560020
2007-02-01,107410,575299
2007-02-01,107420,987193
2007-02-01,107500,-99
2007-02-01,107911,198315
2007-02-01,107912,192358
2007-02-01,107920,3405752
2007-02-01,107930,2884549
2007-02-01,107991,1319298
2007-02-01,107992,-99
2007-02-01,107999,30522732
2007-02-01,108000,3602516
2007-02-01,109000,712779
2007-02-01,110100,3509421
2007-02-01,110211,-99
2007-02-01,110212,23428906
2007-02-01,110290,-99
2007-02-01,110300,12128660
2007-02-01,110411,-99
2007-02-01,110420,656735
2007-02-01,110491,-99
2007-02-01,110492,1775068
2007-02-01,120010,5274309
2007-02-01,120091,-99
2007-02-01,120099,623328
2007-02-01,131110,1231010
2007-02-01,131120,8088005
2007-02-01,131131,1615669
2007-02-01,131132,546132
2007-02-01,131139,10150612
2007-02-01,131202,355698
2007-02-01,131209,1941587
2007-02-01,131300,4479410
2007-02-01,139100,190191
2007-02-01,139201,204808
2007-02-01,139202,-99
2007-02-01,139203,-99
2007-02-01,139204,-99
2007-02-01,139209,1848445
2007-02-01,139300,548105
2007-02-01,139400,118204
2007-02-01,139900,5183156
2007-02-01,141110,264023
2007-02-01,141120,-99
2007-02-01,141130,520116
2007-02-01,141191,138517
2007-02-01,141199,2061478
2007-02-01,141201,121132
2007-02-01,141202,207401
2007-02-01,142000,223865
2007-02-01,143010,327197
2007-02-01,143020,155492
2007-02-01,151100,74807624
2007-02-01,151200,1439245
2007-02-01,152011,2679452
2007-02-01,152021,337944
2007-02-01,152031,-99
2007-02-01,152040,197434
2007-02-01,161001,182901
2007-02-01,161002,1393815
2007-02-01,162100,4105013
2007-02-01,162201,72104
2007-02-01,162901,-99
2007-02-01,162902,-99
2007-02-01,162903,-99
2007-02-01,162909,1790332
2007-02-01,170101,-99
2007-02-01,170102,7640670
2007-02-01,170201,790715
2007-02-01,170202,11174117
2007-02-01,170910,3916831
2007-02-01,170990,6858346
2007-02-01,181101,579276
2007-02-01,181109,3288167
2007-02-01,181200,16539
2007-02-01,182000,-99
2007-02-01,191000,-99
2007-02-01,192000,98137120
2007-02-01,201110,437858
2007-02-01,201120,5278445
2007-02-01,201130,2489920
2007-02-01,201140,-99
2007-02-01,201180,1377106
2007-02-01,201190,37104452
2007-02-01,201210,-99
2007-02-01,201220,-99
2007-02-01,201300,-99
2007-02-01,201401,43369976
2007-02-01,201409,2937680
2007-02-01,202101,25961420
2007-02-01,202200,2992020
2007-02-01,202311,2316576
2007-02-01,202312,14639946
2007-02-01,202320,7038014
2007-02-01,202906,108252
2007-02-01,202907,3327565
2007-02-01,202908,35259644
2007-02-01,203000,-99
2007-02-01,210010,33954420
