fecha,letra,total_fob
2008-06-01,G,607389504
2008-06-01,H,25772900
2008-06-01,I,99814
2008-06-01,J,6927260
2008-06-01,K,371913
2008-06-01,L,6866552
2008-06-01,M,4883348
2008-06-01,N,10175262
2008-06-01,P,169470
2008-06-01,Q,330946
2008-06-01,R,798375
2008-06-01,S,1838677
2008-06-01,Z,1373596
2008-07-01,A,200029056
2008-07-01,B,393740160
2008-07-01,C,4975563264
2008-07-01,D,2786030
2008-07-01,E,1850226
2008-07-01,F,4161721
2008-07-01,G,1155843328
2008-07-01,H,28656564
2008-07-01,I,246105
2008-07-01,J,7522077
2008-07-01,K,351819
2008-07-01,L,14993314
2008-07-01,M,6284344
2008-07-01,N,8091745
2008-07-01,P,131368
2008-07-01,Q,771529
2008-07-01,R,441897
2008-07-01,S,2367270
2008-07-01,Z,2661466
2008-08-01,A,182839984
2008-08-01,B,498308704
2008-08-01,C,5372851712
2008-08-01,D,3958800
2008-08-01,E,2887778
2008-08-01,F,3812844
2008-08-01,G,849277248
2008-08-01,H,51455268
2008-08-01,I,403537
2008-08-01,J,6745594
2008-08-01,K,-99
2008-08-01,L,11378270
2008-08-01,M,7992334
2008-08-01,N,21067408
2008-08-01,P,463132
2008-08-01,Q,438041
2008-08-01,R,312679
2008-08-01,S,2294386
2008-08-01,Z,1836803
2008-09-01,A,148427904
2008-09-01,B,433758848
2008-09-01,C,5273166336
2008-09-01,D,2627056
2008-09-01,E,2447213
2008-09-01,F,6134399
2008-09-01,G,691380864
2008-09-01,H,51705812
2008-09-01,I,244976
2008-09-01,J,8319297
2008-09-01,K,511782
2008-09-01,L,11299620
2008-09-01,M,5621433
2008-09-01,N,17357912
2008-09-01,P,44262
2008-09-01,Q,181560
2008-09-01,R,214280
2008-09-01,S,2055419
2008-09-01,Z,1087243
2008-10-01,A,127156800
2008-10-01,B,439705440
2008-10-01,C,4552838656
2008-10-01,D,7156602
2008-10-01,E,2402986
2008-10-01,F,11629336
2008-10-01,G,672203072
2008-10-01,H,35435424
2008-10-01,I,177608
2008-10-01,J,7082893
2008-10-01,K,-99
2008-10-01,L,8890459
2008-10-01,M,5182873
2008-10-01,N,5511968
2008-10-01,P,-99
2008-10-01,Q,564603
2008-10-01,R,130575
2008-10-01,S,1814244
2008-10-01,Z,1125494
2008-11-01,A,108966960
2008-11-01,B,363404992
2008-11-01,C,3815676928
2008-11-01,D,18744076
2008-11-01,E,1806652
2008-11-01,F,15013474
2008-11-01,G,311184640
2008-11-01,H,43631440
2008-11-01,I,92599
2008-11-01,J,7179352
2008-11-01,K,718898
2008-11-01,L,8958279
2008-11-01,M,9225281
2008-11-01,N,5824318
2008-11-01,P,-99
2008-11-01,Q,503074
2008-11-01,R,1481908
2008-11-01,S,1840795
2008-11-01,Z,1785534
2008-12-01,A,102323208
2008-12-01,B,340905568
2008-12-01,C,2985649920
2008-12-01,D,16072667
2008-12-01,E,857584
2008-12-01,F,5770871
2008-12-01,G,403871296
2008-12-01,H,51849644
2008-12-01,I,213788
2008-12-01,J,10466439
2008-12-01,K,-99
2008-12-01,L,6502584
2008-12-01,M,10337716
2008-12-01,N,5868933
2008-12-01,P,-99
2008-12-01,Q,91771
2008-12-01,R,224233
2008-12-01,S,2744627
2008-12-01,Z,918915
2009-01-01,A,85981608
2009-01-01,B,322736768
2009-01-01,C,2574526720
2009-01-01,D,12797859
2009-01-01,E,1123476
2009-01-01,F,10472730
2009-01-01,G,340334464
2009-01-01,H,117219792
2009-01-01,I,176519
2009-01-01,J,5652610
2009-01-01,K,-99
2009-01-01,L,3399725
2009-01-01,M,3104357
2009-01-01,N,3299060
2009-01-01,P,65827
2009-01-01,Q,453970
2009-01-01,R,268612
2009-01-01,S,847834
2009-01-01,Z,1246168
2009-02-01,A,138626848
2009-02-01,B,354194976
2009-02-01,C,2728414720
2009-02-01,D,15219053
2009-02-01,E,1410992
2009-02-01,F,3692397
2009-02-01,G,380399744
2009-02-01,H,102640944
2009-02-01,I,91334
2009-02-01,J,8250354
2009-02-01,K,-99
2009-02-01,L,3236448
2009-02-01,M,5167912
2009-02-01,N,4725612
2009-02-01,P,24825
2009-02-01,Q,290068
2009-02-01,R,393938
2009-02-01,S,1884930
2009-02-01,Z,1077332
2009-03-01,A,156046704
2009-03-01,B,370802048
2009-03-01,C,3011468288
2009-03-01,D,29865716
2009-03-01,E,1130538
2009-03-01,F,3397330
2009-03-01,G,367755168
2009-03-01,H,26434244
2009-03-01,I,83844
2009-03-01,J,7275460
2009-03-01,K,455568
2009-03-01,L,4592429
2009-03-01,M,6901856
2009-03-01,N,6140311
2009-03-01,P,-99
2009-03-01,Q,376660
2009-03-01,R,99648
2009-03-01,S,1552326
2009-03-01,Z,432741
2009-04-01,A,145305488
2009-04-01,B,539531072
2009-04-01,C,3386899456
2009-04-01,D,53279552
2009-04-01,E,1318523
2009-04-01,F,6287486
2009-04-01,G,595522624
