fecha,clae6,empresas
2007-02-01,81200,5
2007-02-01,81300,-99
2007-02-01,81400,6
2007-02-01,89120,4
2007-02-01,89300,4
2007-02-01,89900,11
2007-02-01,91000,21
2007-02-01,99000,-99
2007-02-01,101011,24
2007-02-01,101012,25
2007-02-01,101020,13
2007-02-01,101030,8
2007-02-01,101040,9
2007-02-01,101091,10
2007-02-01,101099,11
2007-02-01,102001,59
2007-02-01,102002,3
2007-02-01,102003,4
2007-02-01,103011,27
2007-02-01,103012,3
2007-02-01,103020,26
2007-02-01,103030,8
2007-02-01,103091,11
2007-02-01,103099,26
2007-02-01,104011,13
2007-02-01,104012,7
2007-02-01,104013,11
2007-02-01,105010,11
2007-02-01,105020,9
2007-02-01,105030,3
2007-02-01,105090,9
2007-02-01,106110,27
2007-02-01,106120,8
2007-02-01,106131,6
2007-02-01,106139,6
2007-02-01,106200,-99
2007-02-01,107110,10
2007-02-01,107121,4
2007-02-01,107129,3
2007-02-01,107200,9
2007-02-01,107301,7
2007-02-01,107309,16
2007-02-01,107410,7
2007-02-01,107420,3
2007-02-01,107500,-99
2007-02-01,107911,6
2007-02-01,107912,5
2007-02-01,107920,12
2007-02-01,107930,16
2007-02-01,107991,9
2007-02-01,107992,-99
2007-02-01,107999,59
2007-02-01,108000,18
2007-02-01,109000,4
2007-02-01,110100,6
2007-02-01,110211,-99
2007-02-01,110212,97
2007-02-01,110290,-99
2007-02-01,110300,4
2007-02-01,110411,-99
2007-02-01,110420,3
2007-02-01,110491,-99
2007-02-01,110492,4
2007-02-01,120010,6
2007-02-01,120091,-99
2007-02-01,120099,3
2007-02-01,131110,3
2007-02-01,131120,5
2007-02-01,131131,6
2007-02-01,131132,3
2007-02-01,131139,9
2007-02-01,131202,5
2007-02-01,131209,18
2007-02-01,131300,10
2007-02-01,139100,6
2007-02-01,139201,3
2007-02-01,139202,-99
2007-02-01,139203,-99
2007-02-01,139204,-99
2007-02-01,139209,16
2007-02-01,139300,4
2007-02-01,139400,4
2007-02-01,139900,36
2007-02-01,141110,9
2007-02-01,141120,-99
2007-02-01,141130,6
2007-02-01,141191,7
2007-02-01,141199,39
2007-02-01,141201,3
2007-02-01,141202,7
2007-02-01,142000,7
2007-02-01,143010,11
2007-02-01,143020,7
2007-02-01,151100,44
2007-02-01,151200,25
2007-02-01,152011,31
2007-02-01,152021,7
2007-02-01,152031,-99
2007-02-01,152040,15
2007-02-01,161001,7
2007-02-01,161002,29
2007-02-01,162100,12
2007-02-01,162201,5
2007-02-01,162901,-99
2007-02-01,162902,-99
2007-02-01,162903,-99
2007-02-01,162909,16
2007-02-01,170101,-99
2007-02-01,170102,20
2007-02-01,170201,11
2007-02-01,170202,13
2007-02-01,170910,14
2007-02-01,170990,27
2007-02-01,181101,8
2007-02-01,181109,35
2007-02-01,181200,3
2007-02-01,182000,-99
2007-02-01,191000,-99
2007-02-01,192000,16
2007-02-01,201110,5
2007-02-01,201120,6
2007-02-01,201130,10
2007-02-01,201140,-99
2007-02-01,201180,11
2007-02-01,201190,11
2007-02-01,201210,-99
2007-02-01,201220,-99
2007-02-01,201300,-99
2007-02-01,201401,15
2007-02-01,201409,6
2007-02-01,202101,15
2007-02-01,202200,33
2007-02-01,202311,5
2007-02-01,202312,6
2007-02-01,202320,40
2007-02-01,202906,4
2007-02-01,202907,15
2007-02-01,202908,132
2007-02-01,203000,-99
2007-02-01,210010,75
2007-02-01,210020,30
2007-02-01,210030,9
2007-02-01,210090,13
2007-02-01,221110,3
2007-02-01,221901,7
2007-02-01,221909,32
2007-02-01,222010,68
2007-02-01,222090,201
2007-02-01,231010,6
2007-02-01,231020,3
2007-02-01,231090,12
2007-02-01,239100,5
2007-02-01,239201,-99
2007-02-01,239202,8
2007-02-01,239209,-99
2007-02-01,239310,-99
2007-02-01,239399,-99
2007-02-01,239410,4
2007-02-01,239421,3
2007-02-01,239422,8
2007-02-01,239510,3
2007-02-01,239592,3
2007-02-01,239593,4
2007-02-01,239600,9
2007-02-01,239900,28
2007-02-01,241001,7
2007-02-01,241009,32
2007-02-01,242010,5
2007-02-01,242090,7
2007-02-01,243100,9
2007-02-01,243200,13
2007-02-01,251101,6
2007-02-01,251102,8
2007-02-01,251200,9
2007-02-01,252000,3
2007-02-01,259100,18
2007-02-01,259200,3
2007-02-01,259301,10
2007-02-01,259302,6
2007-02-01,259309,14
2007-02-01,259910,12
2007-02-01,259992,-99
2007-02-01,259993,53
2007-02-01,259999,124
2007-02-01,261000,6
2007-02-01,262000,8
2007-02-01,263000,10
2007-02-01,264000,8
2007-02-01,265101,26
2007-02-01,265102,11
2007-02-01,265200,-99
2007-02-01,266010,13
2007-02-01,266090,24
2007-02-01,267001,4
2007-02-01,271010,24
2007-02-01,271020,13
2007-02-01,272000,7
2007-02-01,273110,-99
2007-02-01,273190,18
2007-02-01,274000,10
2007-02-01,275010,6
