fecha,clae6,total_cif
2007-01-01,475250,132470
2007-01-01,475270,142473
2007-01-01,475290,2214584
2007-01-01,475300,18540508
2007-01-01,475410,293262
2007-01-01,475420,-99
2007-01-01,475430,237597
2007-01-01,475440,452276
2007-01-01,475490,5333525
2007-01-01,476110,502491
2007-01-01,476120,-99
2007-01-01,476130,87545
2007-01-01,476310,2235663
2007-01-01,476320,429461
2007-01-01,476400,283431
2007-01-01,477110,-99
2007-01-01,477130,162829
2007-01-01,477140,153640
2007-01-01,477150,37795
2007-01-01,477190,9195053
2007-01-01,477210,-99
2007-01-01,477220,133400
2007-01-01,477230,-99
2007-01-01,477290,413191
2007-01-01,477310,62006
2007-01-01,477320,286564
2007-01-01,477330,2270184
2007-01-01,477410,1055461
2007-01-01,477420,202803
2007-01-01,477430,48631
2007-01-01,477440,1781159
2007-01-01,477470,-99
2007-01-01,477480,-99
2007-01-01,477490,2824784
2007-01-01,477830,-99
2007-01-01,478010,-99
2007-01-01,479109,-99
2007-01-01,479900,183826
2007-01-01,491110,9107615
2007-01-01,491200,1313734
2007-01-01,492110,-99
2007-01-01,492120,-99
2007-01-01,492150,-99
2007-01-01,492180,-99
2007-01-01,492210,-99
2007-01-01,492229,152729
2007-01-01,492240,-99
2007-01-01,492280,2104680
2007-01-01,492290,1081590
2007-01-01,493110,-99
2007-01-01,493200,-99
2007-01-01,501100,-99
2007-01-01,501200,789780
2007-01-01,502200,-99
2007-01-01,511000,8654075
2007-01-01,512000,44094
2007-01-01,521010,-99
2007-01-01,522020,-99
2007-01-01,522091,4553507
2007-01-01,522099,927533
2007-01-01,523011,630854
2007-01-01,523019,-99
2007-01-01,523020,-99
2007-01-01,523031,-99
2007-01-01,523039,-99
2007-01-01,523090,1009437
2007-01-01,524120,-99
2007-01-01,524190,56082
2007-01-01,524220,-99
2007-01-01,524230,-99
2007-01-01,524290,1753993
2007-01-01,524310,-99
2007-01-01,524330,6548
2007-01-01,524390,510071
2007-01-01,530010,9138
2007-01-01,530090,-99
2007-01-01,551022,578553
2007-01-01,551023,-99
2007-01-01,561011,60419
2007-01-01,561012,-99
2007-01-01,561013,-99
2007-01-01,561019,-99
2007-01-01,561030,-99
2007-01-01,562010,-99
2007-01-01,581100,3764525
2007-01-01,581300,4913667
2007-01-01,581900,-99
2007-01-01,591110,31456
2007-01-01,591120,-99
2007-01-01,591200,186329
2007-01-01,591300,36706
2007-01-01,592000,-99
2007-01-01,601000,-99
2007-01-01,602100,727804
2007-01-01,602200,3831733
2007-01-01,602310,1862376
2007-01-01,602320,172836
2007-01-01,602900,-99
2007-01-01,611090,9246320
2007-01-01,612000,83494472
2007-01-01,613000,-99
2007-01-01,614010,827449
2007-01-01,614090,-99
2007-01-01,619000,11079679
2007-01-01,620100,985130
2007-01-01,620200,205286
2007-01-01,620300,-99
2007-01-01,620900,7823598
2007-01-01,631110,2622104
2007-01-01,631120,-99
2007-01-01,639100,-99
2007-01-01,641910,-99
2007-01-01,641930,5110098
2007-01-01,642000,-99
2007-01-01,649100,765776
2007-01-01,649220,-99
2007-01-01,649290,-99
2007-01-01,649999,21411
2007-01-01,651110,-99
2007-01-01,651220,-99
2007-01-01,651310,-99
2007-01-01,661131,-99
2007-01-01,661999,-99
2007-01-01,681098,4381661
2007-01-01,681099,4243722
2007-01-01,691001,-99
2007-01-01,691002,-99
2007-01-01,692000,-99
2007-01-01,702091,1816852
2007-01-01,702092,710789
2007-01-01,702099,7184576
2007-01-01,711001,142958
2007-01-01,711002,1096497
2007-01-01,711003,1249128
2007-01-01,711009,1339075
2007-01-01,712000,54335
2007-01-01,721010,-99
2007-01-01,721020,717516
2007-01-01,721030,6653
2007-01-01,722020,-99
2007-01-01,731001,-99
2007-01-01,731009,447061
2007-01-01,732000,-99
2007-01-01,741000,-99
2007-01-01,742000,193439
2007-01-01,749009,85424
2007-01-01,750000,36827
2007-01-01,771110,-99
2007-01-01,772099,-99
2007-01-01,773010,-99
2007-01-01,773020,-99
2007-01-01,773030,1811769
2007-01-01,773040,652423
2007-01-01,773090,1034821
2007-01-01,774000,-99
2007-01-01,791100,-99
2007-01-01,791200,9994
2007-01-01,791909,-99
2007-01-01,801020,23251
2007-01-01,801090,166479
2007-01-01,821100,-99
2007-01-01,821900,-99
2007-01-01,822000,369981
2007-01-01,829900,25676974
2007-01-01,852200,-99
2007-01-01,853201,-99
2007-01-01,853300,-99
2007-01-01,854910,-99
2007-01-01,854950,-99
2007-01-01,854990,-99
2007-01-01,855000,-99
2007-01-01,861010,-99
2007-01-01,862120,-99
2007-01-01,863110,856
2007-01-01,863120,474026
2007-01-01,863190,-99
2007-01-01,863200,-99
2007-01-01,863300,-99
2007-01-01,869090,1347792
2007-01-01,870210,-99
2007-01-01,900030,-99
2007-01-01,900091,-99
2007-01-01,910300,-99
2007-01-01,910900,-99
