fecha,clae2,total_cif
2007-05-01,6,64341992
2007-05-01,7,17260796
2007-05-01,8,2206745
2007-05-01,9,28036124
2007-05-01,10,176054368
2007-05-01,11,20929304
2007-05-01,12,8567325
2007-05-01,13,62746428
2007-05-01,14,7701665
2007-05-01,15,18067020
2007-05-01,16,10873516
2007-05-01,17,61061288
2007-05-01,18,16244671
2007-05-01,19,21616740
2007-05-01,20,191132608
2007-05-01,21,82653840
2007-05-01,22,104143664
2007-05-01,23,26127340
2007-05-01,24,192634272
2007-05-01,25,33997008
2007-05-01,26,97322536
2007-05-01,27,67231368
2007-05-01,28,59673756
2007-05-01,29,796620416
2007-05-01,30,16660152
2007-05-01,31,3849403
2007-05-01,32,8015139
2007-05-01,33,15299130
2007-05-01,35,18378068
2007-05-01,36,19100
2007-05-01,37,45955
2007-05-01,38,701141
2007-05-01,41,2615190
2007-05-01,42,14465265
2007-05-01,43,5546715
2007-05-01,45,86289984
2007-05-01,46,674199872
2007-05-01,47,103575152
2007-05-01,49,18468712
2007-05-01,50,2746383
2007-05-01,51,11702861
2007-05-01,52,9825410
2007-05-01,53,18267
2007-05-01,55,357378
2007-05-01,56,1231920
2007-05-01,58,8271944
2007-05-01,59,538182
2007-05-01,60,4981317
2007-05-01,61,171079824
2007-05-01,62,8731501
2007-05-01,63,642548
2007-05-01,64,7931774
2007-05-01,65,-99
2007-05-01,66,-99
2007-05-01,68,3677917
2007-05-01,69,161828
2007-05-01,70,9132640
2007-05-01,71,3831730
2007-05-01,72,1140603
2007-05-01,73,1608851
2007-05-01,74,227008
2007-05-01,75,-99
2007-05-01,77,6801195
2007-05-01,78,-99
2007-05-01,79,136763
2007-05-01,80,332722
2007-05-01,81,-99
2007-05-01,82,87479008
2007-05-01,85,59988
2007-05-01,86,3372385
2007-05-01,90,87812
2007-05-01,91,-99
2007-05-01,92,231072
2007-05-01,93,184434
2007-05-01,94,1473749
2007-05-01,95,1628326
2007-05-01,96,5771898
2007-05-01,999,3103238
2007-06-01,1,8012778
2007-06-01,2,58837
2007-06-01,3,2251307
2007-06-01,5,-99
2007-06-01,6,87056576
2007-06-01,7,12617608
2007-06-01,8,2070667
2007-06-01,9,39482632
2007-06-01,10,163946240
2007-06-01,11,17977168
2007-06-01,12,6919088
2007-06-01,13,64053784
2007-06-01,14,7204401
2007-06-01,15,17548696
2007-06-01,16,9336312
2007-06-01,17,57214940
2007-06-01,18,9598282
2007-06-01,19,21295756
2007-06-01,20,230229328
2007-06-01,21,79184992
2007-06-01,22,97905704
2007-06-01,23,23603330
2007-06-01,24,174033920
2007-06-01,25,44735768
2007-06-01,26,108629248
2007-06-01,27,63009252
2007-06-01,28,67689704
2007-06-01,29,708087488
2007-06-01,30,15284682
2007-06-01,31,5142072
2007-06-01,32,6206762
2007-06-01,33,14116825
