fecha,letra,empresas
2010-03-01,I,3
2010-03-01,J,115
2010-03-01,K,3
2010-03-01,L,31
2010-03-01,M,89
2010-03-01,N,61
2010-03-01,O,-99
2010-03-01,P,4
2010-03-01,Q,9
2010-03-01,R,9
2010-03-01,S,21
2010-03-01,Z,32
2010-04-01,A,339
2010-04-01,B,88
2010-04-01,C,3769
2010-04-01,D,8
2010-04-01,E,7
2010-04-01,F,42
2010-04-01,G,1127
2010-04-01,H,116
2010-04-01,I,6
2010-04-01,J,104
2010-04-01,K,-99
2010-04-01,L,36
2010-04-01,M,97
2010-04-01,N,56
2010-04-01,P,-99
2010-04-01,Q,3
2010-04-01,R,9
2010-04-01,S,25
2010-04-01,Z,26
2010-05-01,A,361
2010-05-01,B,80
2010-05-01,C,3781
2010-05-01,D,7
2010-05-01,E,6
2010-05-01,F,48
2010-05-01,G,1105
2010-05-01,H,110
2010-05-01,I,6
2010-05-01,J,120
2010-05-01,K,-99
2010-05-01,L,29
2010-05-01,M,82
2010-05-01,N,58
2010-05-01,O,-99
2010-05-01,P,6
2010-05-01,Q,6
2010-05-01,R,7
2010-05-01,S,26
2010-05-01,Z,40
2010-06-01,A,338
2010-06-01,B,87
2010-06-01,C,3817
2010-06-01,D,4
2010-06-01,E,7
2010-06-01,F,46
2010-06-01,G,1147
2010-06-01,H,99
2010-06-01,I,11
2010-06-01,J,137
2010-06-01,K,-99
2010-06-01,L,32
2010-06-01,M,86
2010-06-01,N,55
2010-06-01,O,-99
2010-06-01,P,4
2010-06-01,Q,6
2010-06-01,R,10
2010-06-01,S,28
2010-06-01,Z,32
2010-07-01,A,308
2010-07-01,B,87
2010-07-01,C,3701
2010-07-01,D,4
2010-07-01,E,6
2010-07-01,F,38
2010-07-01,G,1123
2010-07-01,H,88
2010-07-01,I,6
2010-07-01,J,128
2010-07-01,K,4
2010-07-01,L,27
2010-07-01,M,92
2010-07-01,N,53
2010-07-01,O,-99
2010-07-01,P,4
2010-07-01,Q,4
2010-07-01,R,7
2010-07-01,S,30
2010-07-01,Z,20
2010-08-01,A,323
2010-08-01,B,85
2010-08-01,C,3671
2010-08-01,D,4
2010-08-01,E,4
2010-08-01,F,43
2010-08-01,G,1074
2010-08-01,H,100
2010-08-01,I,8
2010-08-01,J,119
2010-08-01,K,5
2010-08-01,L,31
2010-08-01,M,90
2010-08-01,N,54
2010-08-01,O,-99
2010-08-01,P,-99
2010-08-01,Q,6
2010-08-01,R,4
2010-08-01,S,22
2010-08-01,Z,24
2010-09-01,A,324
2010-09-01,B,96
2010-09-01,C,3804
2010-09-01,D,5
2010-09-01,E,4
2010-09-01,F,42
2010-09-01,G,1092
2010-09-01,H,110
2010-09-01,I,6
2010-09-01,J,111
2010-09-01,K,3
2010-09-01,L,27
2010-09-01,M,84
2010-09-01,N,49
2010-09-01,P,4
2010-09-01,Q,3
2010-09-01,R,6
2010-09-01,S,30
2010-09-01,Z,19
2010-10-01,A,322
2010-10-01,B,86
2010-10-01,C,3781
2010-10-01,D,10
2010-10-01,E,5
2010-10-01,F,50
2010-10-01,G,1119
2010-10-01,H,101
2010-10-01,I,4
2010-10-01,J,118
2010-10-01,K,3
2010-10-01,L,31
2010-10-01,M,91
2010-10-01,N,54
2010-10-01,P,3
2010-10-01,Q,3
2010-10-01,R,12
2010-10-01,S,24
2010-10-01,Z,16
2010-11-01,A,336
2010-11-01,B,86
2010-11-01,C,3851
2010-11-01,D,7
2010-11-01,E,5
2010-11-01,F,43
2010-11-01,G,1120
2010-11-01,H,110
2010-11-01,I,6
2010-11-01,J,121
2010-11-01,K,4
2010-11-01,L,32
2010-11-01,M,84
2010-11-01,N,50
2010-11-01,O,-99
2010-11-01,P,5
2010-11-01,Q,6
2010-11-01,R,4
2010-11-01,S,23
2010-11-01,Z,21
2010-12-01,A,344
2010-12-01,B,88
2010-12-01,C,3864
2010-12-01,D,6
2010-12-01,E,6
2010-12-01,F,40
2010-12-01,G,1160
2010-12-01,H,103
2010-12-01,I,7
2010-12-01,J,115
2010-12-01,K,3
2010-12-01,L,31
2010-12-01,M,93
2010-12-01,N,49
2010-12-01,P,4
2010-12-01,Q,4
2010-12-01,R,12
2010-12-01,S,31
2010-12-01,Z,26
2011-01-01,A,353
2011-01-01,B,81
2011-01-01,C,3612
2011-01-01,D,6
2011-01-01,E,3
2011-01-01,F,40
2011-01-01,G,1081
2011-01-01,H,92
2011-01-01,I,7
2011-01-01,J,111
2011-01-01,K,5
2011-01-01,L,22
2011-01-01,M,88
2011-01-01,N,44
2011-01-01,O,-99
2011-01-01,P,-99
2011-01-01,Q,4
2011-01-01,R,3
2011-01-01,S,21
2011-01-01,Z,21
2011-02-01,A,323
2011-02-01,B,83
2011-02-01,C,3481
2011-02-01,D,9
2011-02-01,E,6
2011-02-01,F,34
2011-02-01,G,1029
2011-02-01,H,93
2011-02-01,I,6
2011-02-01,J,94
2011-02-01,K,-99
2011-02-01,L,30
2011-02-01,M,79
2011-02-01,N,43
2011-02-01,O,-99
2011-02-01,P,-99
2011-02-01,Q,4
2011-02-01,R,5
2011-02-01,S,18
2011-02-01,Z,24
2011-03-01,A,351
2011-03-01,B,97
2011-03-01,C,3475
2011-03-01,D,7
2011-03-01,E,4
2011-03-01,F,35
2011-03-01,G,1059
2011-03-01,H,85
2011-03-01,I,3
2011-03-01,J,109
2011-03-01,K,3
2011-03-01,L,25
2011-03-01,M,75
2011-03-01,N,43
2011-03-01,P,-99
2011-03-01,Q,3
2011-03-01,R,9
2011-03-01,S,22
2011-03-01,Z,22
2011-04-01,A,365
2011-04-01,B,92
2011-04-01,C,3647
2011-04-01,D,6
2011-04-01,E,5
2011-04-01,F,44
2011-04-01,G,1149
2011-04-01,H,95
2011-04-01,I,5
2011-04-01,J,104
2011-04-01,K,-99
2011-04-01,L,19
2011-04-01,M,81
2011-04-01,N,51
2011-04-01,P,3
2011-04-01,Q,3
2011-04-01,R,-99
2011-04-01,S,29
2011-04-01,Z,21
2011-05-01,A,381
2011-05-01,B,91
2011-05-01,C,3814
2011-05-01,D,6
2011-05-01,E,3
2011-05-01,F,37
2011-05-01,G,1154
2011-05-01,H,99
2011-05-01,I,5
2011-05-01,J,108
2011-05-01,K,5
2011-05-01,L,29
2011-05-01,M,78
2011-05-01,N,55
2011-05-01,O,-99
2011-05-01,P,-99
2011-05-01,Q,5
2011-05-01,R,6
2011-05-01,S,28
2011-05-01,Z,19
2011-06-01,A,323
2011-06-01,B,86
2011-06-01,C,3626
